Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8024H00000R9ibmQAB,0000027202,243.4357,,
8024H00000R9ibpQAB,0000027205,292.95,,156.45
8024H00000R9icHQAR,0000027233,320.2403,,
8024H00000R9icIQAR,0000027234,158.469675,,207.229575
8024H00000R9icJQAR,0000027235,153.9195,,56.175
8024H00000R9icKQAR,0000027236,150.9235,,
8024H00000R9icLQAR,0000027237,158.469675,,
8024H00000R9icMQAR,0000027238,198.3887,,
8024H00000R9icNQAR,0000027239,158.469675,,
8024H00000R9icOQAR,0000027240,79.5224,,
8024H00000R9icPQAR,0000027241,63.8576,,
8024H00000R9m8YQAR,0000027421,,,
8024H00000R9m8ZQAR,0000027422,374.7889,,
8024H00000R9m8aQAB,0000027423,19.3242,,222.56
8024H00000R9m8bQAB,0000027424,17.5694,,183.612
8024H00000R9m8cQAB,0000027425,,,
8024H00000R9m8dQAB,0000027426,,,
8024H00000R9m8eQAB,0000027427,,,
8024H00000RAq8eQAD,0000028783,,176.015,
8024H00000RB1ifQAD,0000028948,1.1,,
8024H00000RB4qvQAD,0000029045,,104.99,
8024H00000QDTOCQA5,0000031683,,0.0,
8024H00000TJ5pRQAT,0000035116,,,26.817945
8024H00000TJ9ViQAL,0000035141,648.9764,,267.0185
8024H00000TJ9VjQAL,0000035142,73.13985,,
8024H00000TJ9dkQAD,0000035143,,159.8794,
8024H00000TKJr3QAH,0000035959,455.7,,455.7
8024H00000TMpPQQA1,0000038269,,,89.3985
8028e000000wlncAAA,0000040908,900.0,,225.0
8028e000000mcadAAA,0000046811,75.0,,
8028e000000mcaeAAA,0000046812,710.0,,
8028e000000mcafAAA,0000046813,420.0,,
8028e000000mcagAAA,0000046814,,200.0,
8028e000000mcahAAA,0000046815,520.0,,175.0
8028e000000mcaiAAA,0000046816,299.25,,
8028e000000mcajAAA,0000046817,63.0,,
8028e000000mcakAAA,0000046818,73.5,,
8028e000001gwv7AAA,0000049056,278.25,,
8028e000001wfMlAAI,0000049554,34.3791,,34.3791
8028e000004lYDPAA2,0000053668,65.0,,
8028e000004lYDQAA2,0000053669,402.9,,
8028e000005Ley3AAC,0000054455,,,
