Id,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8024H00000R9ibmQAB,238.56698599999999,,
8024H00000R9ibpQAB,287.091,,153.321
8024H00000R9icHQAR,313.835494,,
8024H00000R9icIQAR,155.30028149999998,,203.08498350000002
8024H00000R9icJQAR,150.84111,,55.0515
8024H00000R9icKQAR,147.90502999999998,,
8024H00000R9icLQAR,155.30028149999998,,
8024H00000R9icMQAR,194.420926,,
8024H00000R9icNQAR,155.30028149999998,,
8024H00000R9icOQAR,77.93195200000001,,
8024H00000R9icPQAR,62.580448,,
8024H00000R9m8YQAR,0.0,,
8024H00000R9m8ZQAR,367.293122,,
8024H00000R9m8aQAB,18.937716,,218.1088
8024H00000R9m8bQAB,17.218012,,179.93975999999998
8024H00000R9m8cQAB,0.0,,
8024H00000R9m8dQAB,0.0,,
8024H00000R9m8eQAB,0.0,,
8024H00000RAq8eQAD,0.0,172.4947,
8024H00000RB1ifQAD,1.078,,
8024H00000RB4qvQAD,0.0,102.8902,
8024H00000QDTOCQA5,0.0,,
8024H00000TJ5pRQAT,0.0,,26.281586100000002
8024H00000TJ9ViQAL,635.996872,,261.67813
8024H00000TJ9VjQAL,71.677053,,
8024H00000TJ9dkQAD,0.0,156.681812,
8024H00000TKJr3QAH,446.58599999999996,,446.58599999999996
8024H00000TMpPQQA1,0.0,,87.61053
8028e000000wlncAAA,882.0,,220.5
8028e000000mcadAAA,73.5,,
8028e000000mcaeAAA,695.8,,
8028e000000mcafAAA,411.59999999999997,,
8028e000000mcagAAA,0.0,196.0,
8028e000000mcahAAA,509.59999999999997,,171.5
8028e000000mcaiAAA,293.265,,
8028e000000mcajAAA,61.74,,
8028e000000mcakAAA,72.03,,
8028e000001gwv7AAA,272.685,,
8028e000001wfMlAAI,33.691518,,33.691518
8028e000004lYDPAA2,63.699999999999996,,
8028e000004lYDQAA2,394.842,,
8028e000005Ley3AAC,0.0,,
8028e000005Ley4AAC,259.7,,
8028e000005Ley5AAC,338.09999999999997,,
8028e000006LRqhAAG,235.935,,
8028e000006RWilAAG,30.87,,30.87
8028e0000088oxDAAQ,801.64,,
8028e0000088oxEAAQ,519.4,,
8028e000008BI7oAAG,3430.0,,
8028e000008Pb6DAAS,579.708024,,195.731676
8028e000008Pb6EAAS,0.0,198.1854,
8028e000000CWYlAAO,865.34,,
8028e0000095pAEAAY,0.0,166.6,
802Sj0000001PR0IAM,0.0,,
802Sj000000HTFJIA4,272.63599999999997,,31.458000000000002
802Sj000000HTFKIA4,272.63599999999997,,31.458000000000002
802Sj000000HlKHIA0,665.861,,146.804
802Sj000000HlKIIA0,220.206,,
802Sj000000p30gIAA,183.26,,85.26
802Sj000000p30hIAA,382.2,,
802Sj000000p30iIAA,0.0,,
802Sj000000uAZOIA2,173.46,,
802Sj000000uAZPIA2,44.1,,
802Sj0000014i9xIAA,419.44,,
802Sj000001MVRBIA4,319.82300000000004,,
802Sj000001MVRCIA4,256.907,,
802Sj000001MVRDIA4,0.0,183.505,
802Sj000001NOAmIAO,117.6,,
802Sj000001bDygIAE,12.5832,,
802Sj000001bDyhIAE,7.812069999999999,,196.61249999999998
802Sj000001bDyiIAE,13.789089999999998,,196.97951
802Sj000001bDyjIAE,432.0232,,
802Sj000001bDykIAE,346.038,,
802Sj000001bDylIAE,432.0232,,
802Sj000001bDymIAE,0.0,173.46,
802Sj000001bDynIAE,616.5767999999999,,146.804
802Sj000001bUcfIAE,403.76,,
802Sj000001eNwbIAE,323.4,,
802Sj000001gyIXIAY,419.44,,
802Sj000001gyIYIAY,12.5832,,
802Sj000001gyIZIAY,7.812069999999999,,157.143196
802Sj000001gyIaIAI,13.789089999999998,,183.85103800000002
802Sj000001gt2rIAA,407.9054,,
